Trans_ID,Product_ID,Cust_ID,Purchase_Date,GLYear,Week,GLPeriod,Selling_Branch,TONS
1181,8Z0151,DOMT,1/9/2024,2024,49,12,0400, 0.75 
1182,8Z0051,ACCE,1/10/2024,2024,50,12,0400, 1.63 
1183,8Z0148,ALAB,1/11/2024,2024,50,12,0400, 21.12 
1184,8Z0148,INTE,1/12/2024,2024,50,12,0400, 10.42 
1185,8Z0151,DOMT,1/13/2024,2024,50,12,0400, 9.53 
1186,8Z0051,ACCE,1/14/2024,2024,51,12,0400, 0.76 
1187,7F0305,ARCO,1/15/2024,2024,51,12,0R01, 2.52 
1188,8Z0149,NEW ,1/16/2024,2024,52,12,0400, 17.89 
1189,8Z0151,DOMT,1/17/2024,2024,52,12,0400, 6.79 
1190,8Z0111,ACCE,1/18/2024,2024,1,1,0400, 93.66 
1191,8Z0197,ACCE,1/19/2024,2024,1,1,0400, 14.58 
1192,8Z0327,ACCE,1/20/2024,2024,1,1,0400, 10.80 
1193,8Z0328,ACCE,1/21/2024,2024,1,1,0400, 28.86 
1194,8Z0392,ACCE,1/22/2024,2024,1,1,0400, 21.62 
1195,8Z0111,ACCE,1/23/2024,2024,2,1,0400, 161.90 
1196,8Z0197,ACCE,1/24/2024,2024,2,1,0400, 31.16 
1197,8Z0111,ACCE,1/25/2024,2024,3,1,0400, 87.57 
1198,8Z0197,ACCE,1/26/2024,2024,3,1,0400, 7.77 
1199,8Z0327,ACCE,1/27/2024,2024,3,1,0400, 5.59 
1200,8Z0392,ACCE,1/28/2024,2024,3,1,0400, 2.10 
1201,8Z0111,ACCE,1/29/2024,2024,4,1,0400, 166.99 
1202,8Z0111,CAVE,1/30/2024,2024,4,1,0400, 9.60 
1203,8Z0111,WIRE,5/2/2024,2024,4,1,0400, 2.68 
1204,8Z0328,ACCE,5/3/2024,2024,4,1,0400, 26.30 
1205,8Z0392,ACCE,5/4/2024,2024,4,1,0400, 3.43 
1206,7F0301,ARCO,5/5/2024,2024,4,1,0R01, 10.43 
1207,8Z0111,ACCE,5/6/2024,2024,5,2,0400, 95.12 
1208,8Z0197,ACCE,5/7/2024,2024,5,2,0400, 9.93 
1209,8Z0328,ACCE,5/8/2024,2024,5,2,0400, 15.38 
1210,8Z0392,ACCE,5/9/2024,2024,5,2,0400, 0.87 
1211,8Z0111,ACCE,5/10/2024,2024,6,2,0400, 249.92 
1212,8Z0197,ACCE,5/11/2024,2024,6,2,0400, 11.25 
1213,8Z0327,ACCE,5/12/2024,2024,6,2,0400, 8.81 
1214,8Z0328,ACCE,5/13/2024,2024,6,2,0400, 11.17 
1215,8Z0392,ACCE,5/14/2024,2024,6,2,0400, 8.16 
1216,8Z0111,ACCE,5/15/2024,2024,7,2,0400, 136.28 
1217,8Z0328,ACCE,5/16/2024,2024,7,2,0400, 31.19 
1218,8Z0392,ACCE,5/17/2024,2024,7,2,0400, 20.28 
1219,7F0301,ARCO,2/2/2025,2024,7,2,0R01, 10.14 
1220,8Z0111,ACCE,2/3/2025,2025,8,2,0400, 57.93 
1221,8Z0111,CAVE,2/4/2025,2025,8,2,0400, 21.29 
1222,8Z0327,ACCE,2/5/2025,2025,8,2,0400, (1.18)
1223,8Z0328,ACCE,2/6/2025,2025,8,2,0400, 9.55 
1224,8Z0111,ACCE,2/7/2025,2025,9,3,0400, 53.75 
1225,8Z0111,CAVE,2/8/2025,2025,9,3,0400, 20.76 
1226,8Z0197,ACCE,2/9/2025,2025,9,3,0400, 8.44 
1227,8Z0328,ACCE,2/10/2025,2025,9,3,0400, 8.56 
1228,8Z0392,ACCE,2/11/2025,2025,9,3,0400, 0.26 
1229,7F0301,ARCO,2/12/2025,2025,9,3,0R01, 10.38 
1230,8Z0111,ACCE,2/13/2025,2025,10,3,0400, 52.27 
1231,8Z0197,ACCE,2/14/2025,2025,10,3,0400, 2.68 
1232,8Z0327,ACCE,2/15/2025,2025,10,3,0400, 21.50 
1233,8Z0111,ACCE,2/16/2025,2025,11,3,0400, 224.28 
1234,8Z0197,ACCE,2/17/2025,2025,11,3,0400, 10.21 
1235,8Z0392,ACCE,2/18/2025,2025,11,3,0400, 0.27 
1236,8Z0111,ACCE,2/19/2025,2025,12,3,0400, 108.26 
1237,8Z0197,ACCE,2/20/2025,2025,12,3,0400, 0.88 
1238,8Z0327,ACCE,2/21/2025,2025,12,3,0400, 8.44 
1239,8Z0328,ACCE,2/22/2025,2025,12,3,0400, 26.21 
1240,8Z0392,ACCE,2/23/2025,2025,12,3,0400, 21.32 
1241,7F0301,ARCO,2/24/2025,2025,12,3,0R01, 6.11 
1242,8Z0111,ACCE,2/25/2025,2025,13,3,0400, 110.68 
1243,8Z0328,ACCE,2/26/2025,2025,13,3,0400, (11.84)
1244,7F0301,ARCO,2/27/2025,2025,13,3,0R01, 10.55 
1245,8Z0111,ACCE,2/28/2025,2025,14,4,0400, 156.72 
1246,8Z0197,ACCE,3/1/2025,2025,14,4,0400, 2.68 
1247,8Z0327,ACCE,3/2/2025,2025,14,4,0400, 41.40 
1248,8Z0328,ACCE,3/3/2025,2025,14,4,0400, 10.67 
1249,8Z0392,ACCE,3/4/2025,2025,14,4,0400, 0.24 
1250,8Z0111,ACCE,3/5/2025,2025,15,4,0400, 52.71 
1251,8Z0327,ACCE,3/6/2025,2025,15,4,0400, 10.06 
1252,8Z0392,ACCE,3/7/2025,2025,15,4,0400, (0.56)
1253,8Z0111,ACCE,3/8/2025,2025,16,4,0400, 112.03 
1254,8Z0197,ACCE,3/9/2025,2025,16,4,0400, 2.74 
1255,8Z0327,ACCE,3/10/2025,2025,16,4,0400, 6.56 
1256,8Z0328,ACCE,3/11/2025,2025,16,4,0400, 2.20 
1257,7F0301,ARCO,3/12/2025,2025,16,4,0R01, 10.34 
1258,8Z0111,ACCE,3/13/2025,2025,17,4,0400, 176.88 
1259,8Z0197,ACCE,3/14/2025,2025,17,4,0400, 4.50 
1260,8Z0328,ACCE,3/15/2025,2025,17,4,0400, 10.91 
1261,8Z0111,ACCE,3/16/2025,2025,18,5,0400, 173.54 
1262,8Z0197,ACCE,3/17/2025,2025,18,5,0400, 11.68 
1263,8Z0328,ACCE,3/18/2025,2025,18,5,0400, 17.73 
1264,8Z0111,ACCE,3/19/2025,2025,19,5,0400, 82.54 
1265,8Z0392,ACCE,3/20/2025,2025,19,5,0400, 21.07 
1266,8Z0111,ACCE,3/21/2025,2025,20,5,0400, 163.43 
1267,8Z0197,ACCE,3/22/2025,2025,20,5,0400, 2.64 
1268,8Z0327,ACCE,3/23/2025,2025,20,5,0400, 5.03 
1269,8Z0328,ACCE,3/24/2025,2025,20,5,0400, 7.17 
1270,8Z0111,ACCE,3/25/2025,2025,21,5,0400, 63.71 
1271,8Z0392,ACCE,3/26/2025,2025,21,5,0400, (0.57)
1272,8Z0111,ACCE,3/27/2025,2025,22,6,0400, 120.46 
1273,8Z0197,ACCE,3/28/2025,2025,22,6,0400, 32.61 
1274,8Z0392,ACCE,3/29/2025,2025,22,6,0400, 0.25 
1275,8Z0111,ACCE,3/30/2025,2025,23,6,0400, 126.00 
1276,8Z0328,ACCE,3/31/2025,2025,23,6,0400, 21.13 
1277,8Z0392,ACCE,4/1/2025,2025,23,6,0400, 0.23 
1278,7F0366,WROU,4/2/2025,2025,23,6,0R01, 0.96 
1279,8Z0111,ACCE,10/2/2023,2023,24,6,0400, 32.90 
1280,8Z0111,ACCE,10/3/2023,2023,25,6,0400, 84.61 
1281,8Z0327,ACCE,10/4/2023,2023,25,6,0400, 14.89 
1282,8Z0392,ACCE,10/5/2023,2023,25,6,0400, 3.17 
1283,8Z0111,ACCE,10/6/2023,2023,26,6,0400, 32.80 
1284,8Z0392,ACCE,10/7/2023,2023,26,6,0400, 19.13 
1285,8Z0111,ACCE,10/8/2023,2023,27,7,0400, 124.89 
1286,8Z0197,ACCE,10/9/2023,2023,27,7,0400, 21.66 
1287,8Z0111,ACCE,10/10/2023,2023,28,7,0400, 20.60 
1288,8Z0197,ACCE,10/11/2023,2023,28,7,0400, 1.60 
1289,8Z0327,ACCE,10/12/2023,2023,28,7,0400, 18.33 
1290,8Z0328,ACCE,10/13/2023,2023,28,7,0400, 6.06 
1291,8Z0392,ACCE,10/14/2023,2023,28,7,0400, 2.40 
1292,7F0301,ARCO,10/15/2023,2023,28,7,0R01, 8.86 
1293,8Z0111,ACCE,10/16/2023,2023,29,7,0400, 167.35 
1294,8Z0111,ACCE,10/17/2023,2023,30,7,0400, 121.56 
1295,8Z0327,ACCE,10/18/2023,2023,30,7,0400, 5.59 
1296,8Z0328,ACCE,10/19/2023,2023,30,7,0400, 68.24 
1297,8Z0392,ACCE,10/20/2023,2023,30,7,0400, 0.64 
1298,7F0366,WROU,10/21/2023,2023,30,7,0R01, 1.69 
1299,8Z0111,ACCE,10/22/2023,2023,31,8,0400, 117.42 
